data,sample,sattr,strategy,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.00,gs,gs,0.0,0,skga,ad2,0.015468428999282198,0.02098660924234549,0.009950248756218905,0,995,15383,8018,1005,995,25571,23401,1,995,1,10,10188
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,0,skga,ad2,0.008909927972079821,0.013839756441672244,0.003980099502487562,0,1001,23782,10611,1005,1001,25571,34393,1,1001,1,4,1789
email,-1,dept,static,all,adm,0.5,0.5,3,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0016534244201876318,0.0033068488403752636,0.0,0,1005,24916,3357,1005,1005,25571,28273,1,1005,1,0,655
email,-1,dept,static,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.006088958194104104,0.012177916388208207,0.0,0,1005,24861,12334,1005,1005,25571,37195,1,1005,1,0,710
email,-1,dept,static,all,adm,0.5,0.5,5,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0028697309472537702,0.0057394618945075405,0.0,0,1005,22255,5079,1005,1005,25571,27334,1,1005,1,0,3316
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,0,skga,ad2,0.16167191691390115,0.16376936574269688,0.1595744680851064,29,869,7614,4309,1005,898,25571,11923,1,898,1,136,17957
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.013464023167743347,0.017972822454889684,0.008955223880597015,0,996,23267,9461,1005,996,25571,32728,1,996,1,9,2304
email,-1,dept,static,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.01641741541050962,0.022884582064800384,0.009950248756218905,0,995,22147,13717,1005,995,25571,35864,1,995,1,10,3424
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,0,skga,ad2,0.04012029405212736,0.04441969258186667,0.03582089552238806,0,969,16826,7028,1005,969,25571,23854,1,969,1,36,8745
email,-1,dept,static,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0047256256033266185,0.009451251206653237,0.0,0,1005,22799,9835,1005,1005,25571,32634,1,1005,1,0,2772
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.75,gs,gs,0.75,0,skga,ad2,0.004983540011385865,0.00996708002277173,0.0,0,1005,16001,7311,1005,1005,25571,23312,1,1005,1,0,9570
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.50,gs,gs,0.5,0,skga,ad2,0.022172718497066864,0.028425038984183505,0.015920398009950248,0,989,17011,11255,1005,989,25571,28266,1,989,1,16,8560
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.00579342095492687,0.01158684190985374,0.0,0,1005,19987,11506,1005,1005,25571,31493,1,1005,1,0,5584
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.25,gs,gs,0.25,0,skga,ad2,0.014561520754436764,0.019172792752654634,0.009950248756218905,0,995,17476,8278,1005,995,25571,25754,1,995,1,10,8095
email,-1,dept,static,all,adm,0.5,0.5,9,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.00463602386079551,0.00927204772159102,0.0,0,1005,23985,9801,1005,1005,25571,33786,1,1005,1,0,1586
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.015483775154080339,0.02101730155194178,0.009950248756218905,0,995,16430,9323,1005,995,25571,25753,1,995,1,10,9141
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.50,gs,gs,0.5,0,skga,ad2,0.02109700254944182,0.02627360708893341,0.015920398009950248,0,989,19074,9852,1005,989,25571,28926,1,989,1,16,6497
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.37183683572188797,0.3824796415930301,0.3611940298507463,0,642,642,0,1005,642,25571,642,642,642,642,363,24929
email,-1,dept,static,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.002163312789287386,0.004326625578574772,0.0,0,1005,24196,4171,1005,1005,25571,28367,1,1005,1,0,1375
email,-1,dept,static,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.004428108215143185,0.00885621643028637,0.0,0,1005,24116,8801,1005,1005,25571,32917,1,1005,1,0,1455
email,-1,dept,static,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.004631073488279995,0.00926214697655999,0.0,0,1005,19008,7977,1005,1005,25571,26985,1,1005,1,0,6563
email,-1,dept,static,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.001302938046087975,0.00260587609217595,0.0,0,1005,25139,2617,1005,1005,25571,27756,1,1005,1,0,432
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,0,skga,ad2,0.024002623697432984,0.027109725006806463,0.020895522388059702,0,984,16575,6754,1005,984,25571,23329,1,984,1,21,8996
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.75,gs,gs,0.75,0,skga,ad2,0.005761738570827439,0.010528452266032988,0.0009950248756218905,0,1004,22220,10245,1005,1004,25571,32465,1,1004,1,1,3351
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.75,gs,gs,0.75,0,skga,ad2,0.00920274250637361,0.014425385510259667,0.003980099502487562,0,1001,17640,9651,1005,1001,25571,27291,1,1001,1,4,7931
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,0,skga,ad2,0.006621618276775313,0.012248211677928736,0.0009950248756218905,0,1004,23574,11997,1005,1004,25571,35571,1,1004,1,1,1997
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.005708274547659694,0.011416549095319388,0.0,0,1005,20797,11691,1005,1005,25571,32488,1,1005,1,0,4774
email,-1,dept,static,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.002939036162471223,0.005878072324942446,0.0,0,1005,23173,5917,1005,1005,25571,29090,1,1005,1,0,2398
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.37183683572188797,0.3824796415930301,0.3611940298507463,0,642,642,0,1005,642,25571,642,642,642,642,363,24929
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.25,gs,gs,0.25,0,skga,ad2,0.005771639315858514,0.011543278631717028,0.0,0,1005,18178,11130,1005,1005,25571,29308,1,1005,1,0,7393
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.00,gs,gs,0.0,0,skga,ad2,0.02409222543996432,0.029278978243112704,0.01890547263681592,0,986,15606,8144,1005,986,25571,23750,1,986,1,19,9965
email,-1,dept,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,skga,ad2,0.027722581124229363,0.030569540357911602,0.024875621890547265,0,980,20138,7119,1005,980,25571,27257,1,980,1,25,5433
email,-1,dept,static,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.004314249647285939,0.008628499294571879,0.0,0,1005,25026,8886,1005,1005,25571,33912,1,1005,1,0,545
email,-1,dept,static,all,adm,0.5,0.5,7,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.01077819855944157,0.014591222989529912,0.006965174129353234,0,998,24116,7871,1005,998,25571,31987,1,998,1,7,1455
email,-1,dept,static,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0049662137075815,0.005952327912675445,0.003980099502487562,0,1001,24780,1530,1005,1001,25571,26310,1,1001,1,4,791
email,-1,dept,static,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.005670651716541666,0.011341303433083332,0.0,0,1005,21343,11476,1005,1005,25571,32819,1,1005,1,0,4228
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,0,skga,ad2,0.15221458681692895,0.1544769291257425,0.14995224450811842,42,890,8684,4295,1005,932,25571,12979,1,932,1,115,16887
email,-1,dept,static,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.01859508428009205,0.024254845177099582,0.012935323383084577,0,992,19672,11538,1005,992,25571,31210,1,992,1,13,5899
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.37183683572188797,0.3824796415930301,0.3611940298507463,0,642,642,0,1005,642,25571,642,642,642,642,363,24929
email,-1,dept,static,all,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.37183683572188797,0.3824796415930301,0.3611940298507463,0,642,642,0,1005,642,25571,642,642,642,642,363,24929
