t,num_edges,num_entities,num_new_edges,new_new_entities
0,1,2,0,1
2797,1,2,1,1
3304,1,2,1,1
4523,1,2,1,1
7926,1,2,1,1
8061,1,2,1,1
19403,1,2,1,1
19560,1,2,1,1
21077,1,2,1,1
21280,1,2,1,1
21793,1,2,1,1
21799,1,2,1,1
22038,1,2,1,1
23175,1,2,1,1
23263,1,2,1,1
23553,17,18,17,17
23646,1,2,1,1
23652,1,2,1,1
23712,1,2,1,1
23813,1,2,1,1
24004,1,2,1,1
24076,1,2,1,1
24275,1,2,1,1
24522,5,6,5,5
24710,1,2,1,1
25325,1,2,1,1
25424,1,2,1,1
25431,1,2,1,1
25503,1,2,1,1
25597,1,2,1,1
25608,1,2,1,1
25654,1,2,1,1
25656,1,2,1,1
25811,1,2,1,1
25870,1,2,1,1
25991,2,4,1,2
26225,2,3,2,2
26272,1,2,1,1
26402,1,2,1,1
26484,1,2,0,1
26872,2,3,2,2
27094,1,2,1,1
27119,1,2,1,1
27133,1,2,1,1
27145,1,2,1,1
27176,1,2,1,1
27187,1,2,1,1
27235,4,5,4,4
27254,1,2,1,1
27343,1,2,1,1
27362,1,2,1,1
27408,1,2,1,1
27492,7,8,7,7
27598,2,3,2,2
27689,5,6,5,5
27718,1,2,1,1
27822,1,2,0,1
28102,1,2,1,1
28137,3,4,3,3
28150,1,2,1,1
28193,1,2,1,1
28260,5,6,5,5
28326,1,2,1,1
28393,1,2,1,1
28544,1,2,1,1
28555,1,2,1,1
28632,1,2,1,1
28784,5,6,5,5
28792,1,2,1,1
29181,1,2,1,1
29445,1,2,1,1
29586,1,2,1,1
29670,3,4,3,3
29693,1,2,1,1
29736,2,3,2,2
29768,1,2,1,1
29824,1,2,1,1
29864,3,4,3,3
29871,1,2,1,1
29928,1,2,1,1
29929,1,2,1,1
29998,1,2,1,1
30000,1,2,1,1
30009,1,2,1,1
30072,1,2,1,1
30076,2,3,2,2
30105,1,2,1,1
30114,1,2,1,1
30153,1,2,1,1
30274,1,2,1,1
30276,1,2,1,1
30281,1,2,1,1
30392,1,2,1,1
30463,1,2,1,1
30470,1,2,1,1
30512,1,2,1,1
30668,1,2,1,1
30698,1,2,1,1
30809,1,2,1,1
30899,1,2,1,1
30932,1,2,1,1
30953,1,2,1,1
30970,2,3,2,2
30981,1,2,1,1
31082,1,2,1,1
31085,3,4,3,3
31232,1,2,1,1
31258,4,5,4,4
31286,4,5,0,4
31307,1,2,1,1
31335,1,2,1,1
31347,1,2,0,1
31377,1,2,1,1
31435,1,2,1,1
31461,1,2,1,1
31471,1,2,1,1
31491,1,2,1,1
31576,2,3,2,2
31652,1,2,1,1
31682,1,2,1,1
31721,3,4,3,3
31773,1,2,1,1
31940,1,2,1,1
32006,1,2,1,1
32126,1,2,1,1
32180,2,3,2,2
32305,1,2,1,1
32636,1,2,1,1
32748,1,2,1,1
32765,1,2,1,1
32901,1,2,1,1
32914,1,2,1,1
32993,1,2,1,1
33017,1,2,1,1
33058,1,2,1,1
33082,1,2,1,1
33127,1,2,1,1
33315,2,3,2,2
33352,1,2,1,1
33375,1,2,1,1
33383,1,2,1,1
33408,1,2,1,1
33417,4,5,4,4
33424,16,17,16,16
33434,1,2,1,1
33526,1,2,1,1
33541,1,2,1,1
33587,1,2,1,1
33645,17,18,17,17
33650,1,2,1,1
33869,1,2,1,1
33901,1,2,1,1
33938,1,2,1,1
