Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
0,0,4.87618350982666,15.681911945343018,1.4164078235626218,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
1,1,6.045912981033325,42.28501868247986,1.4573400020599363,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
2,2,6.596509218215942,9.168781518936155,1.4044835567474363,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
3,3,6.655339002609253,10.79901385307312,1.8724448680877688,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
4,4,7.043992042541504,32.55714797973633,1.9753680229187007,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
5,5,7.874276638031006,60.47728204727173,1.86842942237854,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
6,6,8.030148029327393,80.49504852294922,2.086517572402954,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
7,7,6.358666658401488,35.362670183181756,2.2949082851409908,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
8,8,6.4278321266174325,52.97812509536743,2.685060739517212,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
9,9,7.5211427211761475,105.16768527030943,2.352436065673828,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
10,10,8.462277173995973,13.556674480438232,2.5350935459136963,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
11,11,7.29314661026001,32.39846754074097,2.7469682693481445,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
12,12,8.188904047012329,123.49262166023254,2.859727621078491,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
13,13,7.610113382339477,47.215569972991936,2.9007062911987305,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
14,14,8.865460157394411,155.73554515838626,3.0303094387054443,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
15,15,8.745792865753174,57.55732488632202,2.9979114532470703,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
16,16,8.390952110290527,68.70118021965028,2.461503267288208,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
17,17,9.322461366653444,82.56629610061646,3.6922791004180913,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
18,18,8.833696365356445,200.7990403175354,3.5013947486877437,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
19,19,9.41801404953003,92.06235647201538,3.883671522140503,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
