Unnamed: 0,t,clustering,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
0,0,3.337860107421875e-06,1.5423789024353027,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
1,1,4.529953002929688e-06,1.6336686611175537,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
2,2,3.814697265625e-06,1.3929097652435305,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
3,3,3.337860107421875e-06,1.6808598041534424,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
4,4,3.5762786865234375e-06,1.6726405620574951,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
5,5,3.5762786865234375e-06,1.9294114112854004,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
6,6,4.0531158447265625e-06,2.047748327255249,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
7,7,4.291534423828125e-06,2.32436466217041,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
8,8,4.529953002929688e-06,2.116046190261841,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
9,9,4.529953002929688e-06,2.1685073375701904,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
10,10,3.337860107421875e-06,2.809695243835449,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
11,11,4.0531158447265625e-06,2.726994514465332,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
12,12,4.291534423828125e-06,2.5424489974975586,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
13,13,4.76837158203125e-06,3.0857601165771484,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
14,14,4.291534423828125e-06,3.0393741130828857,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
15,15,3.5762786865234375e-06,3.4810125827789307,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
16,16,3.5762786865234375e-06,3.2510874271392822,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
17,17,4.76837158203125e-06,3.6802294254302983,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
18,18,4.291534423828125e-06,3.428035259246826,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
19,19,3.337860107421875e-06,3.5725948810577397,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
20,20,4.0531158447265625e-06,3.7921719551086426,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
21,21,3.814697265625e-06,3.700282573699951,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
22,22,4.529953002929688e-06,4.181755781173706,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
23,23,4.291534423828125e-06,4.195024967193604,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
24,24,4.0531158447265625e-06,3.583705425262451,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
25,25,2.86102294921875e-06,3.7484314441680913,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
26,26,4.291534423828125e-06,4.478754758834839,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
27,27,3.5762786865234375e-06,4.306012630462647,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
28,28,4.529953002929688e-06,4.958275079727173,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
29,29,4.0531158447265625e-06,4.45575737953186,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
30,30,4.0531158447265625e-06,4.194828748703003,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
31,31,4.0531158447265625e-06,4.6615376472473145,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
32,32,3.814697265625e-06,5.446505546569824,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
33,33,3.5762786865234375e-06,6.022153615951537,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
34,34,3.5762786865234375e-06,4.329092264175415,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
35,35,3.814697265625e-06,5.3690736293792725,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
36,36,3.5762786865234375e-06,5.504938125610352,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
37,37,2.384185791015625e-06,5.677204132080077,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
38,38,3.5762786865234375e-06,5.101834297180176,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
39,39,4.0531158447265625e-06,5.800669193267822,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
40,40,3.5762786865234375e-06,6.619495391845702,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
41,41,3.5762786865234375e-06,5.685165882110597,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
42,42,3.0994415283203125e-06,4.231755018234253,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
43,43,3.0994415283203125e-06,4.143724918365479,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
44,44,2.6226043701171875e-06,4.277881145477295,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
45,45,2.86102294921875e-06,4.252469539642334,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
46,46,3.5762786865234375e-06,4.441091299057007,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
47,47,3.814697265625e-06,4.493742942810059,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
48,48,4.0531158447265625e-06,4.618433475494385,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
49,49,3.0994415283203125e-06,4.68307089805603,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,1,km,1.0
0,0,1.430511474609375e-06,1.2966909408569336,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0
1,1,1.9073486328125e-06,1.2761194705963137,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0
2,2,2.384185791015625e-06,1.548673391342163,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0
3,3,1.430511474609375e-06,1.6054682731628418,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0
4,4,1.9073486328125e-06,1.8809480667114256,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0
5,5,1.9073486328125e-06,1.631760835647583,email-temp,-1,meanadd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0
