Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
0,0,1.4425079822540283,2.69732403755188,1.255049228668213,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
1,1,1.552602767944336,3.7786045074462886,1.407496213912964,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
2,2,1.6066484451293943,6.74783992767334,1.157008409500122,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
3,3,1.6377556324005127,3.749080181121826,1.241184949874878,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
4,4,1.8141841888427732,12.151264190673828,1.6211984157562256,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
5,5,1.934924840927124,9.814429998397829,1.5729801654815674,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
6,6,1.8912150859832764,10.874618768692017,1.4429702758789062,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
7,7,2.0274426937103267,21.35286808013916,1.6295790672302246,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
8,8,2.2167890071868896,18.612489461898804,1.7115478515625,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
9,9,2.4830963611602783,21.26585841178894,1.93802547454834,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
10,10,2.405678033828736,64.07520627975464,1.400007724761963,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
11,11,2.7397351264953613,31.10337209701538,1.942345142364502,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
12,12,2.770026206970215,46.76402521133423,1.853270530700684,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
13,13,2.8585796356201167,56.31232166290283,1.9876413345336916,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
14,14,3.5137996673583984,32.05095863342285,1.8350203037261963,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
15,15,3.70472264289856,37.44523072242737,2.3556950092315674,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
16,16,4.383482933044434,55.94548988342285,2.5350801944732666,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
17,17,4.4495975971221915,76.58896541595459,2.2708542346954346,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
18,18,4.1215155124664316,102.29226207733154,3.2055118083953857,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
19,19,5.658853769302367,70.71556973457335,2.275233268737793,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
20,20,4.65724778175354,23.19412136077881,3.043919324874878,icews14,-1,equaladd,50,all,adm,0.5,0.5,10,2,km,1.0
