Unnamed: 0,t,clustering,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
0,0,1.9073486328125e-06,0.9733726978302002,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
1,1,2.1457672119140625e-06,0.9836630821228028,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
2,2,2.384185791015625e-06,1.0091271400451658,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
3,3,2.1457672119140625e-06,1.1162691116333008,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
4,4,2.1457672119140625e-06,1.1893620491027832,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
5,5,2.1457672119140625e-06,1.3420186042785645,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
6,6,1.6689300537109375e-06,1.4379739761352541,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
7,7,1.6689300537109375e-06,1.6316401958465576,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
8,8,1.430511474609375e-06,1.8353002071380613,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
9,9,1.430511474609375e-06,2.012545347213745,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
10,10,1.9073486328125e-06,2.2128729820251465,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
11,11,1.9073486328125e-06,2.432461738586426,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
12,12,1.6689300537109375e-06,2.670416116714477,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
13,13,1.430511474609375e-06,2.935166597366333,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
14,14,1.9073486328125e-06,3.176450490951538,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
15,15,1.9073486328125e-06,3.6056625843048096,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
16,16,1.9073486328125e-06,3.846949815750122,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
17,17,1.9073486328125e-06,4.182353973388672,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
18,18,2.1457672119140625e-06,4.394118309020996,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
19,19,1.6689300537109375e-06,4.93643856048584,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
20,20,2.1457672119140625e-06,6.771600484848023,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
21,21,1.9073486328125e-06,5.59846305847168,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
22,22,1.6689300537109375e-06,6.344592332839966,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
23,23,1.6689300537109375e-06,6.758637428283691,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
24,24,1.9073486328125e-06,7.371907711029053,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
25,25,1.6689300537109375e-06,8.041971683502197,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
26,26,1.9073486328125e-06,8.662883996963501,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
27,27,1.9073486328125e-06,9.515822649002077,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
28,28,1.6689300537109375e-06,10.27939748764038,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
29,29,1.6689300537109375e-06,11.28786849975586,icews14,-1,equaladd,50,only_clusters,adm,0.5,0.5,20,10,km,1.0
