data,sample,sattr,strategy,n_sg,t,num_entities,num_edges,num_new_entities,num_old_entities,num_removed_entities,num_new_edges,num_removed_edges
yago15,-1,isCitizenOf,mean,2,1,8472,69986,10,8462,0,16209,16209
yago15,-1,isCitizenOf,mean,2,0,8462,53777,0,8462,0,0,0
yago15,-1,isCitizenOf,mean,50,47,8472,68019,2,8470,0,1801,1801
yago15,-1,isCitizenOf,mean,50,1,8461,52895,0,8461,0,3,3
yago15,-1,isCitizenOf,mean,50,32,8462,54337,0,8462,0,106,106
yago15,-1,isCitizenOf,mean,50,34,8462,54647,0,8462,0,155,155
yago15,-1,isCitizenOf,mean,50,48,8472,69379,0,8472,0,1360,1360
yago15,-1,isCitizenOf,mean,50,9,8461,52954,0,8461,0,24,24
yago15,-1,isCitizenOf,mean,50,29,8462,54035,0,8462,0,73,73
yago15,-1,isCitizenOf,mean,50,8,8461,52930,0,8461,0,12,12
yago15,-1,isCitizenOf,mean,50,15,8461,53242,0,8461,0,28,28
yago15,-1,isCitizenOf,mean,50,19,8461,53453,0,8461,0,87,87
yago15,-1,isCitizenOf,mean,50,38,8464,55983,0,8464,0,519,519
yago15,-1,isCitizenOf,mean,50,5,8461,52905,0,8461,0,3,3
yago15,-1,isCitizenOf,mean,50,46,8470,66218,1,8469,0,2025,2025
yago15,-1,isCitizenOf,mean,50,16,8461,53246,0,8461,0,4,4
yago15,-1,isCitizenOf,mean,50,33,8462,54492,0,8462,0,155,155
yago15,-1,isCitizenOf,mean,50,4,8461,52902,0,8461,0,2,2
yago15,-1,isCitizenOf,mean,50,43,8466,60782,1,8465,0,1423,1423
yago15,-1,isCitizenOf,mean,50,40,8465,57335,1,8464,0,733,733
yago15,-1,isCitizenOf,mean,50,7,8461,52918,0,8461,0,9,9
yago15,-1,isCitizenOf,mean,50,3,8461,52900,0,8461,0,3,3
yago15,-1,isCitizenOf,mean,50,39,8464,56602,0,8464,0,619,619
yago15,-1,isCitizenOf,mean,50,12,8461,53125,0,8461,0,71,71
yago15,-1,isCitizenOf,mean,50,2,8461,52897,0,8461,0,2,2
yago15,-1,isCitizenOf,mean,50,41,8465,58230,0,8465,0,895,895
yago15,-1,isCitizenOf,mean,50,49,8472,69986,0,8472,0,607,607
yago15,-1,isCitizenOf,mean,50,31,8462,54231,0,8462,0,116,116
yago15,-1,isCitizenOf,mean,50,18,8461,53366,0,8461,0,51,51
yago15,-1,isCitizenOf,mean,50,17,8461,53315,0,8461,0,69,69
yago15,-1,isCitizenOf,mean,50,26,8462,53857,0,8462,0,64,64
yago15,-1,isCitizenOf,mean,50,28,8462,53962,0,8462,0,54,54
yago15,-1,isCitizenOf,mean,50,25,8462,53793,0,8462,0,24,24
yago15,-1,isCitizenOf,mean,50,14,8461,53214,0,8461,0,34,34
yago15,-1,isCitizenOf,mean,50,45,8469,64193,2,8467,0,1904,1904
yago15,-1,isCitizenOf,mean,50,23,8462,53736,0,8462,0,64,64
yago15,-1,isCitizenOf,mean,50,42,8465,59359,0,8465,0,1129,1129
yago15,-1,isCitizenOf,mean,50,36,8463,55137,0,8463,0,292,292
yago15,-1,isCitizenOf,mean,50,22,8462,53672,1,8461,0,59,59
yago15,-1,isCitizenOf,mean,50,35,8463,54845,1,8462,0,198,198
yago15,-1,isCitizenOf,mean,50,13,8461,53180,0,8461,0,55,55
yago15,-1,isCitizenOf,mean,50,0,8461,52892,0,8461,0,0,0
yago15,-1,isCitizenOf,mean,50,27,8462,53908,0,8462,0,51,51
yago15,-1,isCitizenOf,mean,50,10,8461,52995,0,8461,0,41,41
yago15,-1,isCitizenOf,mean,50,37,8464,55464,1,8463,0,327,327
yago15,-1,isCitizenOf,mean,50,24,8462,53769,0,8462,0,33,33
yago15,-1,isCitizenOf,mean,50,44,8467,62289,1,8466,0,1507,1507
yago15,-1,isCitizenOf,mean,50,30,8462,54115,0,8462,0,80,80
yago15,-1,isCitizenOf,mean,50,11,8461,53054,0,8461,0,59,59
yago15,-1,isCitizenOf,mean,50,6,8461,52909,0,8461,0,4,4
yago15,-1,isCitizenOf,mean,50,21,8461,53613,0,8461,0,88,88
yago15,-1,isCitizenOf,mean,50,20,8461,53525,0,8461,0,72,72
yago15,-1,isCitizenOf,mean,20,1,8461,52902,0,8461,0,6,6
yago15,-1,isCitizenOf,mean,20,9,8462,53814,0,8462,0,106,106
yago15,-1,isCitizenOf,mean,20,8,8462,53708,1,8461,0,183,183
yago15,-1,isCitizenOf,mean,20,15,8465,57084,1,8464,0,1485,1485
yago15,-1,isCitizenOf,mean,20,19,8472,69986,0,8472,0,2536,2536
yago15,-1,isCitizenOf,mean,20,5,8461,53240,0,8461,0,115,115
yago15,-1,isCitizenOf,mean,20,16,8465,59359,0,8465,0,2275,2275
yago15,-1,isCitizenOf,mean,20,4,8461,53125,0,8461,0,158,158
yago15,-1,isCitizenOf,mean,20,7,8461,53525,0,8461,0,195,195
yago15,-1,isCitizenOf,mean,20,3,8461,52967,0,8461,0,54,54
yago15,-1,isCitizenOf,mean,20,12,8462,54439,0,8462,0,287,287
yago15,-1,isCitizenOf,mean,20,2,8461,52913,0,8461,0,11,11
yago15,-1,isCitizenOf,mean,20,18,8472,67450,5,8467,0,4587,4587
yago15,-1,isCitizenOf,mean,20,17,8467,62863,2,8465,0,3504,3504
yago15,-1,isCitizenOf,mean,20,14,8464,55599,1,8463,0,754,754
yago15,-1,isCitizenOf,mean,20,13,8463,54845,1,8462,0,406,406
yago15,-1,isCitizenOf,mean,20,0,8461,52896,0,8461,0,0,0
yago15,-1,isCitizenOf,mean,20,10,8462,53962,0,8462,0,148,148
yago15,-1,isCitizenOf,mean,20,11,8462,54152,0,8462,0,190,190
yago15,-1,isCitizenOf,mean,20,6,8461,53330,0,8461,0,90,90
