data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,calgo,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,0,ctkga,0.0,0.0,0.0,0.0,0.0,0.0,0,1288,9687,0,1288,9687,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,1,ctkga,0.0005323231129682742,0.0005323231129682742,0.0010646462259365484,0.0,0.0012051866890576586,0.0009241057628154421,0,917,10299,623,1287,10299,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,2,ctkga,0.0006352352212783045,0.0006352352212783045,0.001270470442556609,0.0,0.001416539686017518,0.0011244011990956951,0,848,9454,789,1271,9454,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,3,ctkga,0.000684848968908206,0.000684848968908206,0.001369697937816412,0.0,0.001509820488999676,0.0012295753866331464,0,806,9880,767,1262,9880,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,4,ctkga,0.0007818712955184009,0.0007818712955184009,0.0015637425910368019,0.0,0.0017656325414760795,0.0013618526405975377,0,775,10257,934,1269,10257,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,5,ctkga,0.0008333509145762557,0.0008333509145762557,0.0016667018291525114,0.0,0.0019460482444933608,0.001387355413811668,0,733,9825,837,1251,9825,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,6,ctkga,0.0006985136308733564,0.0006985136308733564,0.0013970272617467128,0.0,0.001553250746179265,0.0012408037773141512,0,795,9938,850,1301,9938,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,7,ctkga,0.0007015091852635328,0.0007015091852635328,0.0014030183705270656,0.0,0.0015579538565576889,0.0012480828844964435,0,820,10933,937,1367,10933,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,8,ctkga,0.0007997370883206952,0.0007997370883206952,0.0015994741766413904,0.0,0.0017869889289868334,0.0014119594242959397,0,752,10141,922,1317,10141,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.0,9,ctkga,0.0008183985909387587,0.0008183985909387587,0.0016367971818775173,0.0,0.0018909495074678937,0.0013826448562871323,0,755,10492,975,1329,10492,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,0,ctkga,0.0,0.0,0.0,0.0,0.0,0.0,0,1288,9687,0,1288,9687,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,2,ctkga,0.0006097232328132147,0.0006097232328132147,0.0012194464656264295,0.0,0.0013550135501354968,0.0010838793811173586,0,853,9454,743,1271,9454,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,3,ctkga,0.0006852654235649807,0.0006852654235649807,0.0013705308471299615,0.0,0.0015075136842341852,0.001233548010025736,0,803,9880,759,1262,9880,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,4,ctkga,0.0007694248862635686,0.0007694248862635686,0.0015388497725271372,0.0,0.001736923069256957,0.0013407764757973311,0,785,10257,927,1269,10257,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,5,ctkga,0.000830149833621475,0.000830149833621475,0.00166029966724295,0.0,0.0019310133288717888,0.0013895860056141142,0,736,9825,838,1251,9825,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,6,ctkga,0.0006990382927729755,0.0006990382927729755,0.001398076585545951,0.0,0.0015608156589957411,0.0012353375120961508,0,784,9938,853,1301,9938,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,7,ctkga,0.0006971329103855618,0.0006971329103855618,0.0013942658207711236,0.0,0.0015379919009739617,0.0012505397405682865,0,819,10933,916,1367,10933,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,8,ctkga,0.0008349251262437815,0.0008349251262437815,0.001669850252487563,0.0,0.0018704918730228825,0.0014692086319522408,0,742,10141,967,1317,10141,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,9,ctkga,0.0008321130075010073,0.0008321130075010073,0.0016642260150020146,0.0,0.0019482581847093672,0.0013801938452946555,0,747,10492,979,1329,10492,1
