data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer_name,max_dist,enforcer,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0003580919778388371,0.0003580919778388371,0.0007161839556776742,0.0,0.0007909553623710648,0.0006414125489842791,0,,22393,659,1490,22393,2,0,689,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.02186545725370623,0.0012324280065859918,0.0024648560131719835,0.0,0.002760621712266347,0.002169090314077625,0,,23467,3489,1549,23467,2,3,688,13,1517
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.0001946984370073423,0.0001946984370073423,0.0003893968740146846,0.0,0.00038106391603981703,0.0003977298319895492,0,,22393,242,1490,22393,2,0,686,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.0192067728570589,0.0011514077288522252,0.0023028154577044505,0.0,0.002606504419088208,0.001999126496320701,0,,23467,3134,1549,23467,2,4,688,17,1521
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0009598666726724066,0.0009598666726724066,0.0019197333453448131,0.0,0.0020553128237466895,0.0017841538669429368,0,,22393,2404,1490,22393,4,0,335,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.08368026019827446,0.002544429407678947,0.005088858815357894,0.0,0.005720826394014723,0.004456891236701075,0,,23467,7554,1549,23467,4,0,312,0,1423
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.0006818386559164062,0.0006818386559164062,0.0013636773118328124,0.0,0.0015026350164407125,0.0012247196072249066,0,,22393,1224,1490,22393,4,0,329,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.09073941787971244,0.0025179591329140155,0.005035918265828031,0.0,0.005696812528232539,0.004375024003423531,0,,23467,7127,1549,23467,4,1,309,8,1412
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0011452186838430752,0.0011452186838430752,0.0022904373676861504,0.0,0.0024872753479573168,0.0020935993874149966,0,,22393,2801,1490,22393,6,0,224,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.1325547501230515,0.0032101690954056314,0.006420338190811263,0.0,0.007269933890535215,0.005570742491087326,0,,23467,9226,1549,23467,6,1,201,15,1348
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.00082316111886853,0.00082316111886853,0.00164632223773706,0.0,0.001546326742038667,0.0017463177334354517,0,,22393,1489,1490,22393,6,0,214,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0016980090986892502,0.0016980090986892502,0.0033960181973785005,0.0,0.003726859150488745,0.003065177244268303,0,,22393,4638,1490,22393,8,0,170,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.1833993150790551,0.004004361462564073,0.008008722925128145,0.0,0.009284628640270751,0.006732817209985545,0,,23467,11050,1549,23467,8,1,146,18,1270
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.0013783162920589138,0.0013783162920589138,0.0027566325841178276,0.0,0.0029205891626503696,0.0025926760055853663,0,,22393,2789,1490,22393,8,0,159,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.218470568279333,0.004449761730827992,0.008899523461655984,0.0,0.010172097448268714,0.007626949475043232,0,,23467,11259,1549,23467,8,0,126,0,1216
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0018831358947795165,0.0018831358947795165,0.003766271789559033,0.0,0.004004774559704549,0.0035277690194135624,0,,22393,5297,1490,22393,10,0,139,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.25009752434044996,0.004628162127983683,0.009256324255967365,0.0,0.010678310301086985,0.007834338210847726,0,,23467,11952,1549,23467,10,0,109,0,1167
