data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_clusters,num_anonymized_entities
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.0009793337011846299,0.0009793337011846299,0.0019586674023692597,0.0,0.0021409508580694492,0.0017763839466690638,0,,6502,1676,1192,6502,10,105,1192
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,19,skga,0.0014463870023581874,0.0014463870023581874,0.0028927740047163747,0.0,0.0033053955479841455,0.0024801524614486417,0,,7135,2692,1258,7135,10,94,1258
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.15289323547870498,0.0008905667721680582,0.0017811335443361164,0.0,0.002133691102149173,0.0014285759865230545,0,,6731,1123,1216,6731,2,478,1031
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,8,skga,0.23604149305555558,0.00461432319942092,0.00922864639884184,0.0,0.011985161056822322,0.006472131740861397,0,,6926,6227,1200,6926,10,65,921
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,7,skga,0.3705828934487172,0.003635268576714266,0.007270537153428532,0.0,0.008835782156552148,0.00570529215030494,0,,6627,4050,1173,6627,10,62,741
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,18,skga,0.4905956466246539,0.0029538210042671575,0.005907642008534315,0.0,0.006911116113913813,0.004904167903154849,0,,7194,3061,1237,7194,6,92,632
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.26083969558880604,0.002954878272011713,0.005909756544023426,0.0,0.0073476112026359215,0.004471901885410954,0,,7189,4058,1214,7189,8,94,900
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,8,skga,0.13167690972222224,0.0009705576861617129,0.0019411153723234258,0.0,0.002373761585170977,0.0015084691594758665,0,,6926,1236,1200,6926,2,490,1043
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,6,skga,0.1115677956407407,0.0009297027757767463,0.0018594055515534925,0.0,0.002186848038619514,0.0015319630644874684,0,,6809,1250,1201,6809,2,495,1068
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.49864539149065096,0.003844437994496043,0.007688875988992086,0.0,0.009347050223598188,0.006030701754385989,0,,6731,3760,1216,6731,10,53,612
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,11,skga,0.15117599431985923,0.0009796333552236085,0.001959266710447217,0.0,0.0023436495609783165,0.0015748838599161177,0,,6725,1215,1164,6725,2,466,989
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.75,gs,gs,0.75,5,skga,0.45148370859596765,0.004296380947489394,0.008592761894978788,0.0,0.010282551891062523,0.006902971898895095,0,,6500,4713,1189,6500,10,45,655
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,0.1596241272325058,0.0009896392791574418,0.0019792785583148836,0.0,0.002429341538601983,0.0015292155780277869,0,,7866,1384,1291,7866,2,512,1086
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,9,skga,0.0019877888737146825,0.0019877888737146825,0.003975577747429365,0.0,0.004554732329860367,0.003396423164998324,0,,6806,3611,1162,6806,10,84,1162
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.4005064396316655,0.0027576341889264853,0.0055152683778529705,0.0,0.006758945928432557,0.004271590827273411,0,,6731,3050,1216,6731,6,108,731
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,0.5596178872861693,0.00606065120007802,0.01212130240015604,0.0,0.015290093330372139,0.008952511469939766,0,,7866,6068,1291,7866,10,44,572
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,15,skga,0.5544639316101881,0.004866670776389111,0.009733341552778222,0.0,0.012406894684788682,0.0070597884207676456,0,,7866,4519,1291,7866,10,50,578
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,3,skga,0.19511628645614146,0.001740641895551634,0.003481283791103268,0.0,0.004197952860095981,0.0027646147221105505,0,,6629,2165,1177,6629,4,210,949
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,11,skga,0.5347176093220439,0.004432531711138076,0.008865063422276153,0.0,0.01134683899332926,0.006383287851222948,0,,6725,3605,1164,6725,10,49,544
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,3,skga,0.35020237070038956,0.004151289471821009,0.008302578943642018,0.0,0.009798260053809144,0.0068068978334749316,0,,6629,5019,1177,6629,10,53,768
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,18,skga,0.5966233141568024,0.004038003217493868,0.008076006434987735,0.0,0.010112354111502114,0.006039658758473384,0,,7194,3312,1237,7194,10,44,501
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,10,skga,0.0017280646256627858,0.0017280646256627858,0.0034561292513255715,0.0,0.004447585244174611,0.002464673258476524,0,,6544,2737,1174,6544,10,87,1174
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,11,skga,0.1647355221360164,0.003844413695003153,0.007688827390006306,0.0,0.009120084783955857,0.006257569996056545,0,,6725,5982,1164,6725,10,73,976
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,19,skga,0.35038188029046535,0.0021738771738771673,0.0043477543477543346,0.0,0.005074240368358006,0.003621268327150677,0,,7135,2869,1258,7135,4,184,819
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,13,skga,0.10002647674645082,0.003308010677308023,0.006616021354616046,0.0,0.00844313225002395,0.004788910459208119,0,,6731,5516,1216,6731,10,80,1098
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,gs,1.0,0,skga,0.0014427841088239279,0.0014427841088239279,0.0028855682176478557,0.0,0.003001694743480015,0.0027694416918156743,0,,6502,2886,1192,6502,10,94,1192
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,7,skga,0.27796129015377974,0.004757453995750447,0.009514907991500895,0.0,0.011863080694393971,0.0071667352886078915,0,,6627,6423,1173,6627,10,57,851
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,5,skga,0.28055323504425556,0.0018410693904549102,0.0036821387809098205,0.0,0.004428969167975963,0.0029353083938435864,0,,6500,2252,1189,6500,4,190,857
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,2,skga,0.12184199848554346,0.0017941817991102597,0.0035883635982205194,0.0,0.004306807594296271,0.0028699196021447736,0,,7189,2590,1214,7189,4,238,1068
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,3,skga,0.0014687846713668585,0.0014687846713668585,0.002937569342733717,0.0,0.0028289308893410703,0.00304620779612638,0,,6629,2549,1177,6629,10,90,1177
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.2789809444454999,0.00645047282274336,0.01290094564548672,0.0,0.015922822462866963,0.009879068828106427,0,,7189,9859,1214,7189,10,61,881
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,2,skga,0.23292945563700812,0.004038886784307854,0.008077773568615708,0.0,0.009877630848655174,0.0062779162885762425,0,,7189,6172,1214,7189,10,71,935
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,17,skga,0.3633079501828213,0.002247142185231389,0.004494284370462778,0.0,0.005347538905134867,0.0036410298357906737,0,,7388,2838,1238,7388,4,179,790
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,5,skga,0.4051494248157876,0.0038347409943259346,0.007669481988651869,0.0,0.00939243535223118,0.005946528625072542,0,,6500,4254,1189,6500,10,59,710
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,12,skga,0.0017902536131242433,0.0017902536131242433,0.0035805072262484867,0.0,0.004076776961300066,0.003084237491196919,0,,6870,2814,1194,6870,10,88,1194
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,8,skga,0.527229513888889,0.00815954043048284,0.01631908086096568,0.0,0.021973531122745804,0.010664630599185591,1,,6926,5704,1200,6926,10,40,573
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,4,skga,0.4091864211671063,0.0045891565795372615,0.009178313159074523,0.0,0.010724275383505837,0.007632350934643201,0,,6461,5598,1176,6461,10,51,698
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,0,skga,0.1565387327710463,0.02279348421046078,0.04558696842092156,0.0,0.04558191464878603,0.04559202219305709,49,,6502,492,1192,6502,10,92,1079
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,17,skga,0.6178337891904447,0.00604670381884578,0.01209340763769156,0.0,0.016463936139884044,0.007722879135499117,0,,7388,4182,1238,7388,10,38,476
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,1,skga,0.14425139260187245,0.0034320015110413395,0.006864003022082679,0.0,0.008736521934523718,0.004991484109641661,0,,6779,5287,1196,6779,10,72,1027
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.26610009119308237,0.004520123696538522,0.009040247393077044,0.0,0.010383514491086316,0.007696980295067801,0,,7189,7069,1214,7189,10,61,895
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,9,skga,0.1342462917813373,0.004939852670538007,0.009879705341076014,0.0,0.011482130301621945,0.008277280380530183,0,,6806,8910,1162,6806,10,67,1011
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,0.003419370593412947,0.003419370593412947,0.006838741186825894,0.0,0.008940523111501404,0.004736959262150323,0,,7866,6948,1291,7866,10,88,1291
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,14,skga,0.2676874706498513,0.0038276346866602685,0.007655269373320537,0.0,0.009475457057304525,0.005835081689336578,0,,6728,5575,1227,6728,10,65,902
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,13,skga,0.15207340314447715,0.0008926920772133868,0.0017853841544267736,0.0,0.0021132955936352584,0.0014574727152182841,0,,6731,1108,1216,6731,2,484,1032
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,11,skga,0.39874296624980815,0.0058761544243987,0.0117523088487974,0.0,0.013685908700406202,0.009818708997188355,0,,6725,7405,1164,6725,10,50,704
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,9,skga,0.0022079342696579214,0.0022079342696579214,0.004415868539315843,0.0,0.004556954150509106,0.004274782928122626,0,,6806,4446,1162,6806,10,81,1162
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,0.17089656405680909,0.0009462428960400566,0.0018924857920801133,0.0,0.0022621505887225955,0.001522820995437621,0,,7135,1341,1258,7135,2,489,1044
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,10,skga,0.0014465535204850107,0.0014465535204850107,0.0028931070409700214,0.0,0.0035377529609454212,0.0022484611209946203,0,,6544,2175,1174,6544,10,90,1174
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.0031736074734902194,0.0031736074734902194,0.006347214946980439,0.0,0.007277805069358301,0.005416624824602603,0,,7189,5920,1214,7189,10,85,1214
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,12,skga,0.0032641571901944003,0.0032641571901944003,0.006528314380388801,0.0,0.008123391945770166,0.004933236815007464,0,,6870,6205,1194,6870,10,77,1194
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,11,skga,0.5139156437099232,0.003869382532307256,0.007738765064614512,0.0,0.009569660229417716,0.005907869899811223,0,,6725,3314,1164,6725,8,61,568
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,7,skga,0.4292839601461994,0.006750868325655653,0.013501736651311306,0.0,0.018322746464086912,0.00868072683853574,0,,6627,6348,1173,6627,10,47,674
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,12,skga,0.13565173718957715,0.0009372451155422148,0.0018744902310844295,0.0,0.0021493397935141946,0.0015996406686546603,0,,6870,1277,1194,6870,2,479,1033
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.2614529080008359,0.004887713998906572,0.009775427997813144,0.0,0.012783709113249601,0.006767146882376725,0,,7189,6614,1214,7189,10,67,901
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.49591605484980955,0.003307191377834826,0.006614382755669652,0.0,0.0084229246897732,0.004805840821566134,0,,6731,2960,1216,6731,8,66,615
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,gs,1.0,19,skga,0.2522697344309614,0.003554370671768479,0.007108741343536958,0.0,0.008781931233327031,0.0054355514537468485,0,,7135,5772,1258,7135,10,73,944
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,0,skga,0.002014267375343456,0.0011763280532404701,0.0023526561064809402,0.0,0.0024547923745766526,0.002250519838385196,0,,6502,2010,1192,6502,10,89,1191
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,4,skga,0.10874664491646999,0.0008446657976822712,0.0016893315953645425,0.0,0.0019519724000181585,0.0014266907907109472,0,,6461,1067,1176,6461,2,487,1049
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,11,skga,0.3215333501611932,0.005371309304318538,0.010742618608637075,0.0,0.013468712941563554,0.008016524275710419,0,,6725,6582,1164,6725,10,58,794
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,14,skga,0.0019494808801424593,0.0019494808801424593,0.0038989617602849186,0.0,0.00461299649491972,0.0031849270256501085,0,,6728,3252,1227,6728,10,82,1227
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,1,skga,0.19573641514077025,0.005274821621883356,0.010549643243766713,0.0,0.0135707442595622,0.007528542227971182,0,,6779,8084,1196,6779,10,68,967
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,12,skga,0.39459704300396453,0.002963957719632639,0.005927915439265278,0.0,0.007475307572344478,0.004380523306186093,0,,6870,3109,1194,6870,6,107,725
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,3,skga,0.35017548178086216,0.004110080802180689,0.008220161604361379,0.0,0.0098978246247522,0.006542498583970537,0,,6629,4789,1177,6629,10,53,768
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,6,skga,0.33948361100692526,0.0034168553006497866,0.006833710601299573,0.0,0.008670538370453403,0.004996882832145781,0,,6809,3955,1201,6809,8,83,796
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,0.42950395686999077,0.0032166357534004547,0.006433271506800909,0.0,0.007760333863275025,0.005106209150326792,0,,7135,3972,1258,7135,6,104,720
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,14,skga,0.166167838679959,0.0008671270120211864,0.0017342540240423729,0.0,0.0020335103402607906,0.0014349977078239526,0,,6728,1094,1227,6728,2,483,1024
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.75,gs,gs,0.75,4,skga,0.42853509388449257,0.004381141345427065,0.00876228269085413,0.0,0.010860418241370615,0.00666414714033762,0,,6461,4747,1176,6461,10,46,675
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,3,skga,0.25327196644262845,0.0023849086299360554,0.004769817259872111,0.0,0.005760234228308934,0.0037794002914352466,0,,6629,2966,1177,6629,6,129,881
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,19,skga,0.12293420676825707,0.004197862919194404,0.008395725838388808,0.0,0.009739113715541788,0.007052337961235775,0,,7135,8825,1258,7135,10,74,1108
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,12,skga,0.1574235990112483,0.0009570776757005812,0.0019141553514011624,0.0,0.002228121740779366,0.0016001889620229528,0,,6870,1262,1194,6870,2,474,1007
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,6,skga,0.36976627858688393,0.004064869187957394,0.008129738375914788,0.0,0.010802401507515656,0.005457075244313972,0,,6809,4372,1201,6809,10,64,760
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,9,skga,0.3642571268600342,0.0030590842258565814,0.006118168451713163,0.0,0.0074607278158324635,0.004775609087593864,0,,6806,3509,1162,6806,6,108,741
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,10,skga,0.1507397647495857,0.000970424665344316,0.001940849330688632,0.0,0.0023479668024293837,0.0015337318589478675,0,,6544,1148,1174,6544,2,464,998
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,0.3559342623742231,0.00217401732361164,0.00434803464722328,0.0,0.005240353364085618,0.0034557159303609604,0,,7135,2737,1258,7135,4,182,812
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,hdbscan,gs#1.00,gs,gs,1.0,1,skga,0.002268396047024085,0.002268396047024085,0.00453679209404817,0.0,0.005577398463104444,0.003496185724991899,0,,6779,3921,1196,6779,10,86,1196
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.0031373066557379625,0.0031373066557379625,0.006274613311475925,0.0,0.007140744037845136,0.005408482585106774,0,,7189,5839,1214,7189,10,85,1214
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,4,skga,0.11755825842241659,0.0031205685924705997,0.006241137184941199,0.0,0.007241369170146419,0.005240905199735971,0,,6461,5062,1176,6461,10,75,1041
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,18,skga,0.1827008977439747,0.000989140819463133,0.001978281638926266,0.0,0.0023038014321273346,0.0016527618457251932,0,,7194,1345,1237,7194,2,476,1012
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,13,skga,0.0012019360824965261,0.0012019360824965261,0.0024038721649930522,0.0,0.002708540728878133,0.0020992036011080427,0,,6731,1978,1216,6731,10,100,1216
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,gs,1.0,9,skga,0.13268935096175208,0.004135401005490056,0.008270802010980112,0.0,0.00982954970644861,0.006712054315511652,0,,6806,7090,1162,6806,10,75,1012
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,19,skga,0.1301833606729333,0.004340916948635182,0.008681833897270364,0.0,0.01009010937823223,0.007273558416308467,0,,7135,9032,1258,7135,10,74,1099
