data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,0.5984734031287331,0.006952420381598542,0.013904840763197084,0.0,0.017644998827722712,0.010164682698671254,0,,7866,6514,1291,7866,10,0,38,0,522
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,ir,ir,ir,1.0,2,skga,0.20480514263846555,0.002720499135430985,0.00544099827086197,0.0,0.006653607363132605,0.004228389178591366,0,,7189,4100,1214,7189,10,11,61,301,968
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.0010250805143912412,0.0010250805143912412,0.0020501610287824825,0.0,0.00232604950227467,0.001774272555290298,0,,6502,1603,1192,6502,10,0,105,0,1192
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,2,skga,0.08220201439005127,0.0025006673854272555,0.005001334770854511,0.0,0.006101598922744064,0.003901070618964964,0,,7189,4203,1214,7189,2,95,158,960,1117
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,ir,ir,ir,1.0,16,skga,0.2274032518140285,0.0015169144206724152,0.0030338288413448303,0.0,0.003487948041122513,0.002579709641567084,0,,6609,2368,1220,6609,10,0,54,0,944
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,19,skga,0.0013569751365505565,0.0013569751365505565,0.002713950273101113,0.0,0.0033761667774573345,0.002051733768744898,0,,7135,2518,1258,7135,10,0,93,0,1258
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,4,hdbscan,ir,ir,ir,1.0,9,skga,0.16049210364941446,0.004583494327162861,0.009166988654325721,0.0,0.0103788331167235,0.00795514419192808,0,,6806,8129,1162,6806,10,0,54,0,980
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.1570093043953428,0.0008999163204062839,0.0017998326408125678,0.0,0.002140081563558028,0.0014595837180671042,0,,6731,1136,1216,6731,2,0,476,0,1026
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,8,skga,0.18252309027777777,0.004089043993231808,0.008178087986463616,0.0,0.010623519458544874,0.005732656514382417,0,,6926,5959,1200,6926,10,0,73,0,985
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,7,skga,0.4081945725397168,0.004034768420499015,0.00806953684099803,0.0,0.009935407011660045,0.006203666670336025,0,,6627,4417,1173,6627,10,0,58,0,697
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,18,skga,0.5091614063544615,0.003009293366943962,0.006018586733887924,0.0,0.007198675751626447,0.00483849771614945,0,,7194,2950,1237,7194,6,0,89,0,609
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.50,gs,gs,0.5,9,skga,0.5147273381699901,0.005480927735085208,0.010961855470170416,0.0,0.012719388620881934,0.009204322319458915,1,,6806,4476,1162,6806,10,0,41,0,568
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,9,skga,0.5035225114868127,0.011981686398102064,0.023963372796204127,0.0,0.026782806903288846,0.021143938689119398,8,,6806,5107,1162,6806,10,0,40,0,592
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.25765828513579897,0.0030942014987388974,0.006188402997477795,0.0,0.007696891720488131,0.004679914274467503,0,,7189,4342,1214,7189,8,0,93,0,904
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,ir,ir,ir,1.0,14,skga,0.573660819552463,0.0035844296968991335,0.007168859393798267,0.0,0.008913726859937136,0.005423991927659402,0,,6728,2979,1227,6728,10,3,39,71,525
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,14,skga,0.3382930518110246,0.002562130923989119,0.005124261847978238,0.0,0.006272665196870586,0.003975858499085862,0,,6728,3297,1227,6728,2,82,153,638,814
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,8,skga,0.1283465277777778,0.0009702324100604906,0.0019404648201209811,0.0,0.0023408150270614434,0.0015401146131805103,0,,6926,1225,1200,6926,2,0,490,0,1047
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,13,skga,0.5129127396771122,0.0045409940291906165,0.009081988058381233,0.0,0.010652089783281695,0.007511886333480758,0,,6731,4658,1216,6731,10,0,43,0,595
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,6,skga,0.10492002570713693,0.0009376866861258797,0.0018753733722517594,0.0,0.0022216616264637084,0.001529085118039809,0,,6809,1283,1201,6809,2,1,500,4,1076
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.49371202632661015,0.0038087767203202195,0.007617553440640439,0.0,0.00951711803781298,0.005717988843467919,0,,6731,3680,1216,6731,10,0,54,0,618
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,11,skga,0.152081229850852,0.0010349712008013662,0.0020699424016027324,0.0,0.002507756305911482,0.0016321284972939838,0,,6725,1349,1164,6725,2,0,466,0,988
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,ir,ir,ir,1.0,10,skga,0.49758430096729533,0.003655353607440486,0.007310707214880972,0.0,0.009342338505456028,0.005279075924305885,0,,6544,3164,1174,6544,10,2,43,45,592
