data,sample,sattr,strategy,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.75,gs,gs,0.75,0,skga,0.009656444147422073,0.009656444147422073,0.019312888294844146,0.0,0.021425212247221603,0.01720056434246679,0,,25571,14810,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.0013895695651097797,0.0013895695651097797,0.0027791391302195594,0.0,0.0032286329546298465,0.0023296453058092594,0,,25571,1486,1005,25571,2,0,466,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.0007824063760798021,0.0007824063760798021,0.0015648127521596042,0.0,0.001621742036088212,0.0015078834682309818,0,,25571,591,1005,25571,2,0,452,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.003941981634117965,0.003941981634117965,0.00788396326823593,0.0,0.008488898789633926,0.007279027746837964,0,,25571,5174,1005,25571,4,0,221,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.0022694982797455457,0.0022694982797455457,0.0045389965594910915,0.0,0.00476918888146336,0.004308804237518894,0,,25571,2067,1005,25571,4,0,218,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.004692458107472589,0.004692458107472589,0.009384916214945178,0.0,0.0099967822578649,0.008773050172025454,0,,25571,6307,1005,25571,6,0,148,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.0034140244053364912,0.0034140244053364912,0.0068280488106729825,0.0,0.007391896240192119,0.006264201381153989,0,,25571,3522,1005,25571,6,0,144,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.006524343456845132,0.006524343456845132,0.013048686913690264,0.0,0.014710526967154282,0.011386846860226243,0,,25571,8977,1005,25571,8,0,110,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.004821167792876384,0.004821167792876384,0.009642335585752768,0.0,0.010368060196529782,0.008916610974975847,0,,25571,5186,1005,25571,8,0,109,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.00,gs,gs,0.0,0,skga,0.009894309546793363,0.009894309546793363,0.019788619093586726,0.0,0.02222618252023466,0.017351055666938942,0,,25571,15175,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.25,gs,gs,0.25,0,skga,0.010297764906809195,0.010297764906809195,0.02059552981361839,0.0,0.023206356278309956,0.017984703348927062,0,,25571,15495,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#0.50,gs,gs,0.5,0,skga,0.009388133957080247,0.009388133957080247,0.018776267914160493,0.0,0.020985619167842376,0.016566916660478694,0,,25571,13964,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.009971040320784108,0.009971040320784108,0.019942080641568216,0.0,0.023087547337937206,0.01679661394519941,0,,25571,14629,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,0,skga,0.13184970669042817,0.017944516547695993,0.03588903309539199,0.0,0.03575924724205007,0.036018818948734016,31,,25571,2686,1005,25571,10,0,81,0,920
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,skga,0.01870300240093067,0.0038348660736720426,0.007669732147344085,0.0,0.006676717422986115,0.008662746871702072,0,,25571,4224,1005,25571,10,0,85,0,990
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,0,skga,0.007138437167396823,0.0051586533930546435,0.010317306786109287,0.0,0.01033020341959189,0.010304410152626639,0,,25571,5757,1005,25571,10,0,82,0,1003
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#0.75,gs,gs,0.75,0,skga,0.006961708868592339,0.005972626905314045,0.01194525381062809,0.0,0.013981883411627056,0.009908624209629078,0,,25571,6781,1005,25571,10,0,87,0,1004
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.005985990445781053,0.005985990445781053,0.011971980891562106,0.0,0.013693720452463986,0.010250241330660098,0,,25571,6639,1005,25571,10,0,86,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.008397811935348123,0.008397811935348123,0.016795623870696247,0.0,0.018032226925076136,0.015559020816316434,0,,25571,12570,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,1,km,gs#1.00,gs,gs,1.0,0,skga,0.006267171604663244,0.006267171604663244,0.012534343209326488,0.0,0.013469963614761955,0.011598722803890963,0,,25571,8234,1005,25571,10,0,86,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,2,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.009406202816761921,0.009406202816761921,0.018812405633523842,0.0,0.021812331377936194,0.015812479889111657,0,,25571,13710,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,2,km,gs#1.00,gs,gs,1.0,0,skga,0.005866933986782501,0.005866933986782501,0.011733867973565001,0.0,0.012466028068612125,0.011001707878517843,0,,25571,7373,1005,25571,10,0,84,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,3,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.010213608574045154,0.010213608574045154,0.02042721714809031,0.0,0.022881611841291078,0.017972822454889778,0,,25571,15535,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,3,km,gs#1.00,gs,gs,1.0,0,skga,0.006190688349298299,0.006190688349298299,0.012381376698596598,0.0,0.013185812232370414,0.01157694116482264,0,,25571,7500,1005,25571,10,0,86,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,4,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.010010148263656805,0.010010148263656805,0.02002029652731361,0.0,0.022550926957253546,0.017489666097373863,0,,25571,15030,1005,25571,10,0,91,0,1005
email,-1,dept,static,only_clusters,adm,0.5,0.5,10,-1,1,4,km,gs#1.00,gs,gs,1.0,0,skga,0.006635974357070354,0.006635974357070354,0.013271948714140709,0.0,0.014035296156035673,0.012508601272245654,0,,25571,8319,1005,25571,10,0,88,0,1005
