data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,1,km,gs#0.75,gs,gs,0.75,0,skga,ad2,0.02668182880275656,0.027356946196117202,0.026006711409395974,0.0007116514988638018,0,1161,5174,2022,1192,1161,6502,7196,2,1161,2,31,1328
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,3,skga,ad2,0.33835789187983495,0.340267185628829,0.3364485981308411,0.004336342815360331,0,781,4575,5714,1177,781,6629,10289,1,781,1,396,2054
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,3,skga,ad2,0.3855157281049659,0.3865390501347916,0.3844924060751399,0.08992596190561757,74,770,3390,4143,1177,844,6629,7533,1,844,1,407,3239
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,ir,ir,ir,1.0,7,skga,ad2,0.49097119110070303,0.49174630377003453,0.49019607843137253,0.002982349190724953,0,598,1537,2379,1173,598,6627,3916,2,598,2,575,5090
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,4,skga,ad2,0.4176129954532846,0.4194096643759562,0.41581632653061223,0.005264646618739772,0,687,2977,5491,1176,687,6461,8468,1,687,1,489,3484
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,2,km,gs#0.75,gs,gs,0.75,3,skga,ad2,0.2394543101313841,0.24101567208944588,0.23789294817332202,0.002688262249117297,0,897,4063,4658,1177,897,6629,8721,1,897,1,280,2566
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,2,km,gs#0.75,gs,gs,0.75,14,skga,ad2,0.0014876830668821466,0.0021603702087439167,0.0008149959250203749,0.0006737849583121512,0,1226,5293,1984,1227,1226,6728,7277,10,1226,10,1,1435
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,5,skga,ad2,0.19154964098290947,0.19302358810543233,0.1900756938603869,0.002246948086468254,0,963,5275,4370,1189,963,6500,9645,1,963,1,226,1225
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.75,gs,gs,0.75,3,skga,ad2,0.027498161086644383,0.02865817433981385,0.026338147833474938,0.0012236202102159685,0,1146,4732,3278,1177,1146,6629,8010,1,1146,1,31,1897
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,ad2,0.157817301657721,0.15856223489439,0.15707236842105263,0.0010484235574063066,0,1025,5115,1851,1216,1025,6731,6966,1,1025,1,191,1616
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,13,skga,ad2,0.5269954931863813,0.5278471955230899,0.5261437908496732,0.01729603405988245,8,580,2722,3014,1216,588,6731,5736,2,588,2,636,4009
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,16,skga,ad2,0.5881382545174928,0.588825528642829,0.5874509803921568,0.09797414393250405,55,526,1805,2677,1220,581,6609,4482,1,581,1,694,4804
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,18,skga,ad2,0.009163366922215758,0.010242659470947286,0.008084074373484237,0.0010969566179063993,0,1227,6408,3498,1237,1227,7194,9906,1,1227,1,10,786
