data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,3,skga,ad2,0.9799464882395652,0.9799078179028172,0.9799851585763131,0.0019317048687092825,0,170,1076,6344,8461,170,52967,7420,10,10,170,8291,51891
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,3,skga,ad2,0.9744882443461603,0.974362259227115,0.9746142294652074,0.018677318208386785,3,217,1552,9769,8461,220,52967,11321,1,10,1,8244,51415
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,4,skga,ad2,0.9905585414883625,0.9905448640292485,0.9905722189474753,0.0015096532161980231,0,80,316,2024,8461,80,53125,2340,10,10,80,8381,52809
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,5,skga,ad2,0.9618464763558621,0.9618248894959012,0.9618680632158217,0.0005818879060779528,0,323,2024,3872,8461,323,53240,5896,2,2,323,8138,51216
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,ad2,0.7599744750812216,0.7598966769725257,0.7600522731899201,0.00033110638600776043,0,2032,15145,12882,8463,2032,54845,28027,1,2,2,6431,39700
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.00,gs,gs,0.0,4,skga,ad2,0.9933918461885879,0.9933814011886067,0.9934022911885679,0.0016262757976654705,0,56,237,2017,8461,56,53125,2254,10,10,56,8405,52888
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,18,skga,ad2,0.0030196527530012823,2.7368943388250703e-05,0.00601193656261427,0.0030196527530012823,0,8472,67147,471365,8472,8472,67450,538512,1,10,1,0,303
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,1,skga,ad2,0.9760568824153912,0.9760075850707965,0.9761061797599847,0.002073340176844847,0,203,1430,8851,8461,203,52902,10281,10,10,203,8258,51472
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,6,skga,ad2,0.9752351131884015,0.9751890596468176,0.9752811667299877,0.015933747472454855,3,210,1454,8252,8461,213,53330,9706,10,10,213,8251,51876
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,18,skga,ad2,0.9163435002548173,0.9161946276285554,0.9164923728810819,0.0017844693160403464,0,710,6882,24702,8472,710,67450,31584,2,6,2,7762,60568
